ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,is_illiquid,spread,relative_spread,moneyness,moneyness_pct,moneyness_cat,phase,days_from_apr2,realised_vol
CAT,2025-09-29,CAT251031C00475000,CAT,2025-10-31 20:00:00,call,475,2025-09-11 13:30:00,32,2025-09-29 20:00:00,16.0,22,16.5,17.0,26,16.15,56,8,False,0.0,16.5,471.61,False,1.0,0.0606060606060606,1.0071881427450649,0.718814274506475,ATM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031C00480000,CAT,2025-10-31 20:00:00,call,480,2025-09-11 13:30:00,32,2025-09-29 20:00:00,13.7,6,14.2,14.7,34,13.5,75,25,False,0.0,14.2,471.61,False,1.0,0.0704225352112676,1.0177901231950128,1.77901231950128,ATM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031C00485000,CAT,2025-10-31 20:00:00,call,485,2025-09-11 13:30:00,32,2025-09-29 20:00:00,11.55,21,11.975,12.4,9,11.85,13,5,False,0.0,11.975,471.61,False,0.8499999999999996,0.0709812108559498,1.0283921036449608,2.839210364496085,ATM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031C00490000,CAT,2025-10-31 20:00:00,call,490,2025-09-11 13:30:00,32,2025-09-29 20:00:00,9.7,8,10.075,10.45,12,10.1,27,12,False,0.0,10.075,471.61,False,0.75,0.0744416873449131,1.038994084094909,3.89940840949089,OTM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031C00495000,CAT,2025-10-31 20:00:00,call,495,2025-09-11 13:30:00,32,2025-09-29 20:00:00,8.05,14,8.55,9.05,21,7.52,11,0,False,0.0,8.55,471.61,False,1.0,0.1169590643274853,1.049596064544857,4.959606454485694,OTM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031C00500000,CAT,2025-10-31 20:00:00,call,500,2025-09-12 13:30:00,32,2025-09-29 20:00:00,6.5,32,7.0,7.5,22,7.05,26,7,False,0.0,7.0,471.61,False,1.0,0.1428571428571428,1.060198044994805,6.0198044994805,OTM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031C00505000,CAT,2025-10-31 20:00:00,call,505,2025-09-12 13:30:00,32,2025-09-29 20:00:00,5.5,22,5.975,6.45,32,5.3,4,0,False,0.0,5.975,471.61,False,0.9500000000000002,0.1589958158995816,1.070800025444753,7.080002544475304,OTM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031C00510000,CAT,2025-10-31 20:00:00,call,510,2025-09-12 13:30:00,32,2025-09-29 20:00:00,4.45,13,4.725,5.0,7,4.73,37,7,False,0.0,4.725,471.61,False,0.5499999999999998,0.1164021164021163,1.0814020058947011,8.14020058947011,OTM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031C00515000,CAT,2025-10-31 20:00:00,call,515,2025-09-18 13:30:00,32,2025-09-29 20:00:00,3.5,68,3.95,4.4,19,3.4,4,0,False,0.0,3.95,471.61,False,0.9000000000000004,0.2278481012658228,1.0920039863446491,9.200398634464916,OTM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031C00520000,CAT,2025-10-31 20:00:00,call,520,2025-09-24 13:30:00,32,2025-09-29 20:00:00,2.46,35,3.58,4.7,20,0.0,0,0,False,0.0,3.58,471.61,False,2.24,0.6256983240223464,1.102605966794597,10.26059667945972,OTM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00425000,CAT,2025-10-31 20:00:00,put,425,2025-09-11 13:30:00,32,2025-09-29 20:00:00,3.55,8,3.875,4.2,13,3.95,19,11,False,0.0,3.875,471.61,False,0.6500000000000004,0.167741935483871,0.9011683382455844,-9.883166175441575,OTM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00430000,CAT,2025-10-31 20:00:00,put,430,2025-09-11 13:30:00,32,2025-09-29 20:00:00,4.25,18,4.675,5.1,14,5.04,18,4,False,0.0,4.675,471.61,False,0.8499999999999996,0.1818181818181817,0.9117703186955324,-8.822968130446771,OTM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00435000,CAT,2025-10-31 20:00:00,put,435,2025-09-11 13:30:00,32,2025-09-29 20:00:00,5.2,6,5.45,5.7,6,5.68,104,11,False,0.0,5.45,471.61,False,0.5,0.091743119266055,0.9223722991454804,-7.762770085451966,OTM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00440000,CAT,2025-10-31 20:00:00,put,440,2025-09-11 13:30:00,32,2025-09-29 20:00:00,6.1,16,6.525,6.95,18,7.05,64,7,False,0.0,6.525,471.61,False,0.8500000000000005,0.1302681992337165,0.9329742795954284,-6.702572040457159,OTM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00445000,CAT,2025-10-31 20:00:00,put,445,2025-09-11 13:30:00,32,2025-09-29 20:00:00,7.3,10,7.825,8.35,27,8.25,16,8,False,0.0,7.825,471.61,False,1.0499999999999998,0.1341853035143769,0.9435762600453764,-5.642373995462355,OTM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00450000,CAT,2025-10-31 20:00:00,put,450,2025-09-11 13:30:00,32,2025-09-29 20:00:00,7.85,64,8.575,9.3,44,8.9,36,1,False,0.0,8.575,471.61,False,1.450000000000001,0.1690962099125365,0.9541782404953244,-4.58217595046755,OTM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00455000,CAT,2025-10-31 20:00:00,put,455,2025-09-11 13:30:00,32,2025-09-29 20:00:00,10.15,23,10.75,11.35,13,11.28,6,1,False,0.0,10.75,471.61,False,1.1999999999999993,0.1116279069767441,0.9647802209452726,-3.5219779054727454,OTM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00460000,CAT,2025-10-31 20:00:00,put,460,2025-09-11 13:30:00,32,2025-09-29 20:00:00,12.0,15,12.5,13.0,32,15.52,19,0,False,0.0,12.5,471.61,False,1.0,0.08,0.9753822013952206,-2.46177986047794,ATM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00465000,CAT,2025-10-31 20:00:00,put,465,2025-09-11 13:30:00,32,2025-09-29 20:00:00,14.05,12,14.4,14.75,16,15.25,37,13,False,0.0,14.4,471.61,False,0.6999999999999993,0.048611111111111,0.9859841818451688,-1.401581815483135,ATM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00470000,CAT,2025-10-31 20:00:00,put,470,2025-09-11 13:30:00,32,2025-09-29 20:00:00,16.3,10,16.625,16.95,16,17.4,93,38,False,0.0,16.625,471.61,False,0.6499999999999986,0.0390977443609021,0.9965861622951168,-0.3413837704883301,ATM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00475000,CAT,2025-10-31 20:00:00,put,475,2025-09-11 13:30:00,32,2025-09-29 20:00:00,18.7,20,19.125,19.55,28,20.1,74,1,True,3.39,15.735,471.61,False,0.8500000000000014,0.0444444444444445,1.0071881427450649,0.718814274506475,ATM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00480000,CAT,2025-10-31 20:00:00,put,480,2025-09-11 13:30:00,32,2025-09-29 20:00:00,21.05,27,21.7,22.35,12,27.59,4,0,True,8.39,13.31,471.61,False,1.3000000000000007,0.0599078341013825,1.0177901231950128,1.77901231950128,ATM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00485000,CAT,2025-10-31 20:00:00,put,485,2025-09-11 13:30:00,32,2025-09-29 20:00:00,24.05,12,24.5,24.95,7,23.63,2,0,True,13.39,11.11,471.61,False,0.8999999999999986,0.0367346938775509,1.0283921036449608,2.839210364496085,ATM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00490000,CAT,2025-10-31 20:00:00,put,490,2025-09-11 13:30:00,32,2025-09-29 20:00:00,27.0,23,27.925,28.85,14,32.44,2,0,True,18.39,9.535,471.61,False,1.8500000000000012,0.0662488809310654,1.038994084094909,3.89940840949089,ITM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00495000,CAT,2025-10-31 20:00:00,put,495,2025-09-11 13:30:00,32,2025-09-29 20:00:00,30.35,18,31.2,32.05,14,0.0,0,0,True,23.39,7.81,471.61,False,1.6999999999999955,0.0544871794871793,1.049596064544857,4.959606454485694,ITM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00500000,CAT,2025-10-31 20:00:00,put,500,2025-09-12 13:30:00,32,2025-09-29 20:00:00,34.0,20,34.95,35.9,10,0.0,0,0,True,28.39,6.56,471.61,False,1.8999999999999984,0.0543633762517882,1.060198044994805,6.0198044994805,ITM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00505000,CAT,2025-10-31 20:00:00,put,505,2025-09-12 13:30:00,32,2025-09-29 20:00:00,37.8,20,38.825,39.85,26,0.0,0,0,True,33.39,5.435,471.61,False,2.0500000000000043,0.0528010302640052,1.070800025444753,7.080002544475304,ITM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00510000,CAT,2025-10-31 20:00:00,put,510,2025-09-12 13:30:00,32,2025-09-29 20:00:00,41.45,33,42.725,44.0,24,0.0,0,0,True,38.39,4.335,471.61,False,2.549999999999997,0.0596840257460502,1.0814020058947011,8.14020058947011,ITM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00515000,CAT,2025-10-31 20:00:00,put,515,2025-09-18 13:30:00,32,2025-09-29 20:00:00,45.65,33,46.825,48.0,25,0.0,0,0,True,43.39,3.435,471.61,False,2.3500000000000014,0.0501868659903897,1.0920039863446491,9.200398634464916,ITM,3,180,0.18877609751498675
CAT,2025-09-29,CAT251031P00520000,CAT,2025-10-31 20:00:00,put,520,2025-09-24 13:30:00,32,2025-09-29 20:00:00,49.25,20,50.875,52.5,10,0.0,0,0,True,48.39,2.485,471.61,False,3.25,0.0638820638820638,1.102605966794597,10.26059667945972,ITM,3,180,0.18877609751498675
