ticker,collection_date,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,is_illiquid,spread,relative_spread,moneyness,moneyness_pct,moneyness_cat,phase,days_from_apr2
AAPL,2025-09-22,AAPL251024C00210000,AAPL,2025-10-24 20:00:00,call,210,2025-09-04 13:30:00,32,2025-09-22 20:00:00,46.35,115,47.25,48.15,108,47.04,29,5,True,46.08,1.17,256.08,False,1.7999999999999972,0.038095238095238036,0.8200562324273665,-17.99437675726335,ITM,3,173
AAPL,2025-09-22,AAPL251024C00215000,AAPL,2025-10-24 20:00:00,call,215,2025-09-04 13:30:00,32,2025-09-22 20:00:00,41.45,112,42.225,43.0,37,40.67,77,3,True,41.08,1.145,256.08,False,1.5499999999999972,0.03670811130846648,0.8395813808184943,-16.041861918150573,ITM,3,173
AAPL,2025-09-22,AAPL251024C00220000,AAPL,2025-10-24 20:00:00,call,220,2025-09-04 13:30:00,32,2025-09-22 20:00:00,36.65,234,37.5,38.35,161,35.75,451,106,True,36.08,1.42,256.08,False,1.7000000000000028,0.045333333333333406,0.859106529209622,-14.089347079037795,ITM,3,173
AAPL,2025-09-22,AAPL251024C00225000,AAPL,2025-10-24 20:00:00,call,225,2025-09-04 13:30:00,32,2025-09-22 20:00:00,31.95,152,32.7,33.45,13,32.75,499,27,True,31.08,1.62,256.08,False,1.5000000000000036,0.04587155963302763,0.8786316776007498,-12.136832239925017,ITM,3,173
AAPL,2025-09-22,AAPL251024C00230000,AAPL,2025-10-24 20:00:00,call,230,2025-09-04 13:30:00,32,2025-09-22 20:00:00,27.65,19,28.025,28.4,11,28.1,1252,450,True,26.08,1.945,256.08,False,0.75,0.026761819803746655,0.8981568259918776,-10.18431740081224,ITM,3,173
AAPL,2025-09-22,AAPL251024C00235000,AAPL,2025-10-24 20:00:00,call,235,2025-09-04 13:30:00,32,2025-09-22 20:00:00,23.25,14,23.55,23.85,12,23.35,1884,337,True,21.08,2.47,256.08,False,0.6000000000000014,0.025477707006369487,0.9176819743830054,-8.231802561699464,ITM,3,173
AAPL,2025-09-22,AAPL251024C00240000,AAPL,2025-10-24 20:00:00,call,240,2025-09-04 13:30:00,32,2025-09-22 20:00:00,18.95,10,19.075,19.2,9,19.0,2430,842,True,16.08,2.995,256.08,False,0.25,0.013106159895150722,0.9372071227741331,-6.2792877225866865,ITM,3,173
AAPL,2025-09-22,AAPL251024C00245000,AAPL,2025-10-24 20:00:00,call,245,2025-09-04 13:30:00,32,2025-09-22 20:00:00,14.9,23,15.025,15.15,17,14.85,3026,2695,True,11.08,3.945,256.08,False,0.25,0.016638935108153077,0.9567322711652609,-4.326772883473908,ITM,3,173
AAPL,2025-09-22,AAPL251024C00250000,AAPL,2025-10-24 20:00:00,call,250,2025-09-04 13:30:00,32,2025-09-22 20:00:00,11.25,20,11.4,11.55,12,11.4,10561,2554,True,6.08,5.32,256.08,False,0.3000000000000007,0.02631578947368427,0.9762574195563887,-2.374258044361131,ATM,3,173
AAPL,2025-09-22,AAPL251024C00255000,AAPL,2025-10-24 20:00:00,call,255,2025-09-04 13:30:00,32,2025-09-22 20:00:00,8.15,29,8.225,8.3,27,8.26,2758,2943,True,1.08,7.145,256.08,False,0.15000000000000036,0.018237082066869345,0.9957825679475165,-0.4217432052483537,ATM,3,173
